"","...1","city_state","city","state","year","lat","lng","Anti_American_Indian_or_Alaska_Native","Anti_Arab","Anti_Asian","Anti_Atheism_Agnosticism","Anti_Bisexual","Anti_Black_or_African_American","Anti_Buddhist","Anti_Catholic","Anti_Eastern_Orthodox_Russian__Greek__Other","Anti_Female","Anti_Gay_Male","Anti_Gender_Non_Conforming","Anti_Heterosexual","Anti_Hindu","Anti_Hispanic_or_Latino","Anti_Islamic_Muslim","Anti_Jehovahs_Witness","Anti_Jewish","Anti_Lesbian_Female","Anti_Lesbian__Gay__Bisexual__or_Transgender_Mixed_Group","Anti_Male","Anti_Mental_Disability","Anti_Mormon","Anti_Multiple_Races__Group","Anti_Multiple_Religions__Group","Anti_Native_Hawaiian_or_Other_Pacific_Islander","Anti_Other_Christian","Anti_Other_Race_Ethnicity_Ancestry","Anti_Other_Religion","Anti_Physical_Disability","Anti_Protestant","Anti_Sikh","Anti_Transgender","Anti_White","Unknown_offenders_motivation_not_known","total_cases","Anti_Race","Anti_Gender","Anti_Religion","Anti_Sexual_Orientation","Anti_Ableism"
"1",1,"Anchorage, AK","Anchorage","AK",2010,61.1508,-149.1091,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,7,3,0,1,1,1
"2",2,"Hoover, AL","Hoover","AL",2010,33.3754,-86.8064,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"3",3,"Oneonta, AL","Oneonta","AL",2010,33.9392,-86.4929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"4",4,"Lanett, AL","Lanett","AL",2010,32.8571,-85.2081,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"5",5,"Slocomb, AL","Slocomb","AL",2010,31.1103,-85.5954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"6",6,"Madison, AL","Madison","AL",2010,34.7114,-86.7626,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"7",7,"Decatur, AL","Decatur","AL",2010,34.573,-86.9906,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0
"8",8,"Riverside, AL","Riverside","AL",2010,33.6171,-86.2042,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"9",9,"Talladega, AL","Talladega","AL",2010,33.4329,-86.0976,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"10",10,"Jasper, AL","Jasper","AL",2010,33.8503,-87.2708,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"11",11,"Crossett, AR","Crossett","AR",2010,33.128,-91.9631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0
"12",12,"Bentonville, AR","Bentonville","AR",2010,36.3546,-94.2306,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"13",13,"Rogers, AR","Rogers","AR",2010,36.3172,-94.1526,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,9,3,0,1,2,0
"14",14,"Siloam Springs, AR","Siloam Springs","AR",2010,36.1844,-94.5318,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0
"15",15,"Morrilton, AR","Morrilton","AR",2010,35.1558,-92.7387,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"16",16,"Jonesboro, AR","Jonesboro","AR",2010,35.8212,-90.6791,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"17",17,"Conway, AR","Conway","AR",2010,35.0754,-92.4694,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"18",18,"Hot Springs, AR","Hot Springs","AR",2010,34.4892,-93.0501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"19",19,"Paragould, AR","Paragould","AR",2010,36.0555,-90.5149,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"20",20,"Marmaduke, AR","Marmaduke","AR",2010,36.1901,-90.3851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"21",21,"Pine Bluff, AR","Pine Bluff","AR",2010,34.2116,-92.0178,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0,0
"22",22,"Ward, AR","Ward","AR",2010,35.0117,-91.9577,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"23",23,"Texarkana, AR","Texarkana","AR",2010,33.4361,-93.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0
"24",24,"Marvell, AR","Marvell","AR",2010,34.5563,-90.9153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"25",25,"Jacksonville, AR","Jacksonville","AR",2010,34.8807,-92.1302,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0
"26",26,"North Little Rock, AR","North Little Rock","AR",2010,34.7808,-92.2371,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0
"27",27,"Sherwood, AR","Sherwood","AR",2010,34.8508,-92.2028,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0
"28",28,"Benton, AR","Benton","AR",2010,34.5775,-92.5712,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"29",29,"Bryant, AR","Bryant","AR",2010,34.6152,-92.4914,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"30",30,"Springdale, AR","Springdale","AR",2010,36.1899,-94.1574,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
"31",31,"Elkins, AR","Elkins","AR",2010,36.0163,-94.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"32",32,"Searcy, AR","Searcy","AR",2010,35.2418,-91.7351,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"33",33,"Springerville, AZ","Springerville","AZ",2010,34.156,-109.2989,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"34",34,"Flagstaff, AZ","Flagstaff","AZ",2010,35.1872,-111.6195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"35",35,"Avondale, AZ","Avondale","AZ",2010,33.3858,-112.3236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"36",36,"Glendale, AZ","Glendale","AZ",2010,33.5791,-112.2311,0,0,0,0,0,6,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,11,0,1,1,0
"37",37,"Mesa, AZ","Mesa","AZ",2010,33.4017,-111.718,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,6,0,1,0,0
"38",38,"Peoria, AZ","Peoria","AZ",2010,33.7844,-112.2989,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"39",39,"Phoenix, AZ","Phoenix","AZ",2010,33.5722,-112.0891,1,0,1,0,0,41,0,0,0,0,29,0,0,0,17,1,0,14,6,2,0,0,0,1,1,0,0,10,3,2,0,0,0,6,0,135,81,0,4,37,2
"40",40,"Scottsdale, AZ","Scottsdale","AZ",2010,33.6872,-111.8651,0,0,2,0,0,4,0,0,0,0,2,0,0,0,1,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,12,0,1,2,0
"41",41,"Tempe, AZ","Tempe","AZ",2010,33.3881,-111.9318,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,0
"42",42,"Kingman, AZ","Kingman","AZ",2010,35.217,-114.0105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"43",43,"Lake Havasu City, AZ","Lake Havasu City","AZ",2010,34.5006,-114.3113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"44",44,"Show Low, AZ","Show Low","AZ",2010,34.2671,-110.0384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"45",45,"Tucson, AZ","Tucson","AZ",2010,32.1545,-110.8782,0,0,1,0,0,2,0,0,0,0,3,0,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,7,0,3,3,0
"46",46,"Mammoth, AZ","Mammoth","AZ",2010,32.6853,-110.7292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"47",47,"Apache Junction, AZ","Apache Junction","AZ",2010,33.3985,-111.5351,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0
"48",48,"Maricopa, AZ","Maricopa","AZ",2010,33.0404,-112.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"49",49,"Prescott, AZ","Prescott","AZ",2010,34.585,-112.4475,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"50",50,"Yuma, AZ","Yuma","AZ",2010,32.5992,-114.5488,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
